turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [6, 6]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[1, 3]","[6, 0] -> [7, 0]",Down,"[6, 2] -> [5, 2]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-5, -4]","[2, 4] -> [3, 4]",Down,"[0, 4] -> [1, 4]",Down,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[3, 1]","[5, 2] -> [6, 2]",Down,"[7, 0] -> [6, 0]",Up,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-3, -1]","[2, 2] -> [3, 2]",Down,"[0, 0] -> [1, 0]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[5, 6]","[6, 4] -> [5, 4]",Up,"[6, 6] -> [5, 6]",Up,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
8,p2,random,"[-4, -1]","[1, 4] -> [0, 4]",Up,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
9,p1,minimax,"[5, 6]","[5, 4] -> [6, 4]",Down,"[5, 6] -> [6, 6]",Down,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
10,p2,random,"[-1, -2]","[0, 0] -> [1, 0]",Down,"[0, 2] -> [1, 2]",Down,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
