turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[5, 3]","[6, 4] -> [5, 4]",Up,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-5, -4]","[2, 4] -> [3, 5]",Down-Right,"[0, 4] -> [1, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[3, 5]","[5, 2] -> [5, 1]",Left,"[5, 4] -> [6, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-6, -4]","[1, 6] -> [0, 6]",Up,"[1, 4] -> [0, 4]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,greedy,"[2, 5]","[8, 2] -> [7, 2]",Up,"[6, 4] -> [5, 3]",Up-Left,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
6,p2,random,"[-3, -2]","[2, 2] -> [3, 1]",Down-Left,"[0, 2] -> [1, 2]",Down,0,0,[ 0  0  0  0 -4  0 -6] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
7,p1,greedy,"[6, 2]","[7, 6] -> [6, 6]",Up,"[7, 2] -> [8, 2]",Down,0,0,[ 0  0  0  0 -4  0 -6] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  5  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
8,p2,random,"[-2, -1]","[1, 2] -> [0, 2]",Up,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  5  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
9,p1,greedy,"[5, 3]","[5, 3] -> [6, 4]",Down-Right,"[5, 1] -> [6, 2]",Down-Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
10,p2,random,"[-5, -2]","[3, 5] -> [3, 4]",Left,"[0, 2] -> [1, 2]",Down,0,0,[-1  0  0  0 -4  0 -6] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
